County,Latitude,Longitude
Appling,31.7234,-82.3271
Atkinson,31.302,-82.8413
Bacon,31.5642,-82.446
Baker,31.2669,-84.4974
Baldwin,33.0582,-83.2522
Banks,34.3445,-83.5214
Barrow,34.0119,-83.7101
Bartow,34.2431,-84.8388
Ben Hill,31.7537,-83.1608
Berrien,31.251,-83.1933
Bibb,32.8066,-83.6856
Bleckley,32.4283,-83.345
Brantley,31.1925,-82.0272
Brooks,30.8589,-83.5455
Bryan,31.9846,-81.4508
Bulloch,32.4037,-81.7281
Burke,33.0511,-81.9246
Butts,33.3124,-83.948
Calhoun,31.5358,-84.6324
Camden,30.9392,-81.677
Candler,32.4128,-82.0614
Carroll,33.6142,-85.1175
Catoosa,34.8771,-85.1438
Charlton,30.7162,-82.1044
Chatham,32.0419,-81.1414
Chattahoochee,32.378,-84.8
Chattooga,34.4379,-85.337
Cherokee,34.2442,-84.4561
Clarke,33.9437,-83.3976
Clay,31.6344,-85.0101
Clayton,33.5008,-84.352
Clinch,30.8844,-82.7311
Cobb,33.9125,-84.585
Coffee,31.5867,-82.8437
Colquitt,31.1805,-83.77
Columbia,33.5274,-82.2215
Cook,31.1889,-83.4296
Coweta,33.3514,-84.7798
Crawford,32.6937,-83.9622
Crisp,31.9167,-83.7665
Dade,34.8062,-85.5116
Dawson,34.4804,-84.2231
Decatur,30.8823,-84.5722
DeKalb,33.7931,-84.22
Dodge,32.1735,-83.1512
Dooly,32.1604,-83.8203
Dougherty,31.5429,-84.2219
Douglas,33.69,-84.7665
Early,31.2959,-84.8656
Echols,30.732,-82.9459
Effingham,32.346,-81.3226
Elbert,34.1232,-82.8596
Emanuel,32.5672,-82.3078
Evans,32.1637,-81.8891
Fannin,34.7944,-84.1995
Fayette,33.4038,-84.5001
Floyd,34.335,-85.194
Forsyth,34.193,-84.1509
Franklin,34.3836,-83.2429
Fulton,33.845,-84.4039
Gilmer,34.7061,-84.4542
Glascock,33.2234,-82.6236
Glynn,31.2334,-81.5432
Gordon,34.5244,-84.8721
Grady,30.8775,-84.2288
Greene,33.5582,-83.1539
Gwinnett,33.9601,-84.0453
Habersham,34.6308,-83.5159
Hall,34.3063,-83.7851
Hancock,33.2596,-82.9988
Haralson,33.7836,-85.2066
Harris,32.7279,-84.8993
Hart,34.3518,-82.9594
Heard,33.2797,-85.1124
Henry,33.4724,-84.1195
Houston,32.4877,-83.6449
Irwin,31.6216,-83.2681
Jackson,34.1326,-83.5846
Jasper,33.3294,-83.6903
Jeff Davis,31.8214,-82.666
Jefferson,33.0376,-82.4451
Jenkins,32.7878,-81.9779
Johnson,32.6656,-82.6422
Jones,33.0137,-83.5574
Lamar,33.0706,-84.1453
Lanier,31.0139,-83.0752
Laurens,32.4323,-82.9229
Lee,31.7691,-84.1367
Liberty,31.8255,-81.5252
Lincoln,33.8109,-82.4499
Long,31.7775,-81.797
Lowndes,30.8282,-83.2435
Lumpkin,34.5765,-84.0269
Macon,32.3532,-84.0509
Madison,34.1361,-83.2063
Marion,32.3437,-84.5242
McDuffie,33.4859,-82.496
McIntosh,31.4956,-81.4702
Meriwether,33.039,-84.6999
Miller,31.1629,-84.7302
Mitchell,31.2606,-84.1797
Monroe,33.0262,-83.8828
Montgomery,32.1518,-82.5334
Morgan,33.6264,-83.5086
Murray,34.786,-84.7429
Muscogee,32.4916,-84.8638
Newton,33.5555,-83.8413
Oconee,33.832,-83.416
Oglethorpe,33.8688,-83.0903
Paulding,33.9259,-84.8869
Peach,32.5654,-83.8325
Pickens,34.4696,-84.4869
Pierce,31.3665,-82.2213
Pike,33.0887,-84.3827
Polk,33.9981,-85.1824
Pulaski,32.2541,-83.4876
Putnam,33.3256,-83.3438
Quitman,31.8817,-85.0187
Rabun,34.8585,-83.4531
Randolph,31.7744,-84.7808
Richmond,33.3856,-82.0915
Rockdale,33.6557,-84.012
Schley,32.2933,-84.3163
Screven,32.7678,-81.6249
Seminole,30.8925,-84.8506
Spalding,33.2657,-84.27
Stephens,34.5742,-83.2794
Stewart,32.0762,-84.8492
Sumter,32.0502,-84.2061
Talbot,32.7045,-84.519
Taliaferro,33.5857,-82.857
Tattnall,32.0537,-82.0532
Taylor,32.56,-84.2449
Telfair,31.9642,-82.9136
Terrell,31.7942,-84.4316
Thomas,30.8684,-83.9073
Tift,31.4588,-83.5179
Toombs,32.1275,-82.3265
Towns,34.8916,-83.7245
Treutlen,32.4032,-82.5473
Troup,33.0462,-85.0417
Turner,31.7095,-83.6251
Twiggs,32.6753,-83.4428
Union,34.8145,-83.9604
Upson,32.847,-84.2938
Walker,34.7861,-85.3261
Walton,33.7621,-83.7467
Ware,31.0216,-82.3674
Warren,33.4325,-82.7019
Washington,32.9975,-82.7988
Wayne,31.5786,-81.9153
Webster,32.0757,-84.538
Wheeler,32.1146,-82.7647
White,34.6527,-83.7674
Whitfield,34.802,-84.9888
Wilcox,31.989,-83.45
Wilkes,33.7943,-82.7783
Wilkinson,32.7966,-83.1537
Worth,31.5845,-83.8333
