COUNTYFP10,famPsych_num,famPsych_rate
Appling,2,10.8
Atkinson,0,0
Bacon,3,27
Baker,0,0
Baldwin,7,16.1
Banks,4,20.2
Barrow,15,16.2
Bartow,36,31.3
Ben Hill,3,17.5
Berrien,5,26.9
Bibb,77,49.2
Bleckley,4,32.1
Brantley,2,10.9
Brooks,2,12.3
Bryan,14,28.1
Bulloch,31,36.8
Burke,5,20.5
Butts,3,11.2
Calhoun,1,18.3
Camden,15,25.8
Candler,3,27.1
Carroll,38,29.9
Catoosa,36,52.2
Charlton,3,23.2
Chatham,103,33.9
Chattahoochee,39,450.3
Chattooga,3,11.9
Cherokee,61,21.3
Clarke,28,21.5
Clay,0,0
Clayton,32,10.7
Clinch,1,14.8
Cobb,251,32.3
Coffee,11,25.4
Colquitt,22,47.7
Columbia,48,29.1
Cook,4,22.6
Coweta,28,18
Crawford,1,8.1
Crisp,6,30.6
Dade,4,24.7
Dawson,15,47.3
Decatur,8,27.5
DeKalb,254,33.3
Dodge,3,15.2
Dooly,2,18.2
Dougherty,46,55.7
Douglas,30,20.1
Early,2,18
Echols,0,0
Effingham,7,9.8
Elbert,8,40
Emanuel,3,13
Evans,1,9.3
Fannin,8,30.8
Fayette,52,42.2
Floyd,57,56.9
Forsyth,59,21.6
Franklin,8,32.3
Fulton,455,42.2
Gilmer,12,36.5
Glascock,1,33.9
Glynn,28,32.5
Gordon,22,36.8
Grady,11,42.2
Greene,7,33.8
Gwinnett,231,23.5
Habersham,8,16.4
Hall,64,29.5
Hancock,0,0
Haralson,9,28.1
Harris,6,16.4
Hart,8,29
Heard,0,0
Henry,62,24.4
Houston,47,27.3
Irwin,1,11
Jackson,31,35
Jasper,4,24.3
Jeff Davis,4,26.8
Jefferson,0,0
Jenkins,2,23.2
Johnson,1,10.8
Jones,3,10.4
Lamar,5,24.5
Lanier,0,0
Laurens,39,78.1
Lee,3,8.9
Liberty,13,18.8
Lincoln,1,12.7
Long,1,5.1
Lowndes,29,24
Lumpkin,12,34
Macon,1,4.6
Madison,1,8.7
Marion,1,8.5
McDuffie,8,24.9
McIntosh,0,0
Meriwether,3,14.3
Miller,4,69.6
Mitchell,5,23.7
Monroe,5,16.3
Montgomery,0,0
Morgan,8,37.3
Murray,10,24.4
Musogee,134,66.4
Newton,10,8.3
Oconee,16,36.2
Oglethorpe,2,12.7
Paulding,17,9.3
Peach,11,38.2
Pickens,12,33.4
Pierce,1,4.9
Pike,2,9.8
Polk,14,31.7
Pulaski,3,29.7
Putnam,5,21.6
Quitman,0,0
Rabun,6,34.4
Randolph,1,16.5
Richmond,147,71.6
Rockdale,24,25
Schley,0,0
Screven,2,14.1
Seminole,4,44
Spalding,14,20
Stephens,10,36.7
Stewart,2,42.8
Sumter,11,38.1
Talbot,1,17.5
Taliaferro,0,0
Tattnall,2,8.2
Taylor,1,12.9
Telfair,1,9.2
Terrell,1,11.5
Thomas,28,61.3
Tift,13,31.3
Toombs,3,11.1
Towns,6,46
Treutlen,0,0
Troup,17,24
Turner,0,0
Twiggs,0,0
Union,19,70
Upson,10,35.4
Walker,8,11.5
Walton,34,31.9
Ware,16,44.1
Warren,0,0
Washington,4,20.2
Wayne,6,19.1
Webster,0,0
Wheeler,1,14.1
White,9,31
Whitfield,31,29.9
Wilcox,0,0
Wilkes,3,31.5
Wilkinson,2,22.9
Worth,4,19.7
