County,Births
Appling,26
Atkinson,11
Bacon,28
Baker,4
Baldwin,53
Banks,18
Ben Hill,19
Berrien,29
Bleckley,12
Brantley,17
Brooks,36
Bryan,71
Burke,47
Butts,35
Calhoun,10
Candler,12
Charlton,35
Chattahoochee,15
Chattooga,79
Clay,8
Clinch,7
Coffee,30
Colquitt,114
Cook,33
Crawford,8
Crisp,15
Dade,123
Dawson,24
Decatur,74
Dodge,13
Dooly,12
Early,36
Echols,14
Elbert,16
Emanuel,23
Evans,21
Fannin,9
Franklin,28
Gilmer,55
Glascock,4
Grady,89
Greene,13
Habersham,52
Hancock,13
Haralson,42
Harris,34
Hart,54
Heard,9
Irwin,5
Jasper,10
Jeff Davis,16
Jefferson,36
Jenkins,12
Johnson,8
Jones,19
Lamar,18
Lanier,20
Laurens,48
Lee,38
Lincoln,16
Long,48
Lumpkin,15
McDuffie,55
McIntosh,10
Macon,11
Madison,27
Marion,13
Meriwether,21
Miller,19
Mitchell,40
Monroe,21
Montgomery,4
Morgan,9
Murray,100
Oconee,14
Oglethorpe,13
Peach,27
Pickens,20
Pierce,31
Pike,11
Polk,82
Pulaski,5
Putnam,28
Quitman,4
Rabun,13
Randolph,6
Schley,5
Screven,18
Seminole,31
Stephens,45
Stewart,1
Sumter,36
Talbot,4
Taliaferro,4
Tattnall,22
Taylor,7
Telfair,6
Terrell,8
Thomas,108
Tift,65
Toombs,25
Towns,14
Treutlen,3
Turner,9
Twiggs,6
Union,16
Upson,25
Ware,40
Warren,11
Washington,26
Wayne,31
Webster,2
Wheeler,7
White,14
Wilcox,8
Wilkes,12
Wilkinson,10
Worth,19
