COUNTYFP10,phys_count,phys_rate_p_100k,2023_pop,NP_count,NP_rate_p_100k,NP_to_phy_ratio
Appling,8,43.3,18457,28,151.7,3.5
Atkinson,0,0,8293,4,48.23,N/A
Bacon,10,89.9,11124,10,89.9,1
Baker,0,0,2743,65,2369.67,N/A
Baldwin,65,149.8,43396,4,9.22,0.06
Banks,7,35.4,19789,54,272.88,7.71
Barrow,35,37.7,92792,125,134.71,3.57
Bartow,177,153.9,115041,1,0.87,0.01
Ben Hill,11,64.2,17128,20,116.77,1.82
Berrier,5,26.9,18570,10,53.85,2
Bibb,773,493.9,156512,497,317.55,0.64
Bleckley,6,48.1,12465,12,96.27,2
Brantley,3,16.3,18401,3,16.3,1
Brooks,3,18.5,16245,6,36.93,2
Bryan,44,88.5,49739,35,70.37,0.8
Bulloch,139,164.8,84327,91,107.91,0.65
Burke,8,32.7,24438,5,20.46,0.62
Butts,15,55.8,26887,15,55.79,1
Calhoun,2,36.7,5457,5,91.63,2.5
Camden,67,115.3,58118,51,87.75,0.76
Candler,8,72.2,11059,9,81.38,1.12
Carroll,278,218.7,127098,171,134.54,0.62
Catoosa,152,220.6,68910,64,92.87,0.42
Charlton,5,38.7,12934,10,77.32,2
Chatham,1118,368.2,303655,507,166.97,0.45
Chattahoochee,92,1062.2,8661,3,34.64,0.03
Chattooga,6,23.8,25222,15,59.47,2.5
Cherokee,350,122.1,286602,231,80.6,0.66
Clarke,592,455.6,129933,232,178.55,0.39
Clay,2,70.1,2853,3,105.15,1.5
Clayton,274,91.9,298300,166,55.65,0.61
Clinch,3,44.5,6746,5,74.12,1.67
Cobb,2115,272.3,776743,1007,129.64,0.48
Coffee,70,161.6,43317,75,173.14,1.07
Colquitt,88,190.6,46167,72,155.96,0.82
Columbia,291,176.2,165162,92,55.7,0.32
Cook,5,28.2,17714,15,84.68,3
Coweta,317,203.3,155892,160,102.64,0.5
Crawford,1,8.1,12277,4,32.58,4
Crisp,39,198.7,19631,63,320.92,1.62
Dade,8,49.5,16165,12,74.23,1.5
Dawson,33,104,31732,39,122.9,1.18
Decatur,33,113.5,29087,860,2956.65,26.06
DeKalb,3909,512.3,762992,24,3.15,0.01
Dodge,15,75.8,19776,27,136.53,1.8
Dooly,2,18.2,10981,8,72.85,4
Dougherty,336,406.6,82645,194,234.74,0.58
